,Date,Time,PostDialDelay,Disconnect-Cause,Sip-Status,Session-Disposition,Calling-RTP-Packets-Lost,Called-RTP-Packets-Lost,Calling-RTP-Avg-Jitter,Called-RTP-Avg-Jitter,Calling-R-Factor,Called-R-Factor,Calling-MOS,Called-MOS,Ingress-SBC,Egress-SBC,Originating-Trunk-Group,Terminating-Trunk-Group
53500,2018-10-01,3:45:00,90,31,404,answered,0.0,0.0,0.0,0.0,9288.0,9288.0,276.0,440.0,Fran-Site,Lon-Site,NoTG,es-trunk
53501,2018-10-01,,1,0,487,answered,0.0,0.0,4.0,0.0,9287.0,0.0,411.0,440.0,Lon-Site,Fran-Site,eu-trunk,TG0
53502,2018-10-01,5:52:00,444,0,404,answered,0.0,0.0,0.0,0.0,0.0,0.0,440.0,440.0,WaDC-Site,Lon-Site,TG0,TG0
53503,2018-10-01,6:00:00,124,0,0,answered,0.0,0.0,4.0,0.0,0.0,9288.0,0.0,440.0,Fran-Site,Fran-Site,NoTG,NoTG
53504,2018-10-01,6:00:00,441,31,404,answered,0.0,0.0,0.0,0.0,0.0,9274.0,282.0,440.0,Lon-Site,Lon-Site,TG7,es-trunk
53505,2018-10-01,6:05:00,632,1,0,answered,0.0,1.0,0.0,0.0,9284.0,9281.0,440.0,440.0,Fran-Site,Fran-Site,NoTG,TG0
53506,2018-10-01,6:30:00,404,0,0,ringing,5.0,0.0,1.0,0.0,6619.0,9280.0,279.0,440.0,Fran-Site,Lon-Site,eu-trunk,es-trunk
53507,2018-10-01,7:00:00,1758,1,0,ringing,15.0,0.0,10.0,0.0,0.0,9284.0,280.0,440.0,Lon-Site,Lon-Site,TG1,TG0
53508,2018-10-01,7:00:00,510,31,0,ringing,0.0,33.0,0.0,0.0,4642.0,9288.0,437.0,440.0,Lon-Site,Lon-Site,NoTG,es-trunk
53509,2018-10-01,0:00:00,200,0,0,answered,0.0,0.0,0.0,0.0,0.0,9283.0,438.0,440.0,Lon-Site,Fran-Site,TG8,TG0
53510,2018-10-01,0:15:00,156,0,404,answered,0.0,0.0,9.0,0.0,9284.0,9284.0,0.0,332.0,Fran-Site,Fran-Site,NoTG,es-trunk
53511,2018-10-01,0:27:00,206,19,0,answered,0.0,0.0,5.0,0.0,6079.0,9281.0,409.0,0.0,Fran-Site,Fran-Site,TG1,es-trunk
53512,2018-10-01,0:30:00,319,16,0,ringing,0.0,0.0,0.0,0.0,0.0,9282.0,438.0,440.0,Lon-Site,Lon-Site,NoTG,TG0
53513,2018-10-01,0:30:00,196,16,0,answered,22.0,0.0,108.0,0.0,5424.0,9284.0,440.0,439.0,Fran-Site,Lon-Site,eu-trunk,es-trunk
53514,2018-10-01,0:30:00,81,0,0,answered,0.0,0.0,22.0,1.0,9320.0,9281.0,440.0,439.0,Lon-Site,Lon-Site,NoTG,NoTG
53515,2018-10-01,0:52:00,396,0,487,call-attempt,0.0,0.0,0.0,0.0,5424.0,9284.0,440.0,440.0,Lon-Site,Lon-Site,TG6,TG0
