,Date,Time,PostDialDelay,Disconnect-Cause,Sip-Status,Session-Disposition,Calling-RTP-Packets-Lost,Called-RTP-Packets-Lost,Calling-RTP-Avg-Jitter,Called-RTP-Avg-Jitter,Calling-R-Factor,Called-R-Factor,Calling-MOS,Called-MOS,Ingress-SBC,Egress-SBC,Originating-Trunk-Group,Terminating-Trunk-Group
26400,2019-05-09,2:42:00,685,1,404,answered,2.0,0.0,1.0,0.0,5418.0,9284.0,440.0,440.0,Lon-Site,Lon-Site,NoTG,TG0
26401,2019-05-09,3:00:00,608,18,487,answered,0.0,0.0,4.0,0.0,9261.0,0.0,283.0,440.0,Fran-Site,Lon-Site,eu-trunk,es-trunk
26402,2019-05-09,3:00:00,372,1,480,ringing,1.0,0.0,4.0,0.0,0.0,0.0,440.0,0.0,Lon-Site,Fran-Site,NoTG,es-trunk
26403,2019-05-09,3:30:00,2036,31,0,answered,0.0,0.0,0.0,0.0,5418.0,9285.0,440.0,440.0,Lon-Site,Fran-Site,eu-trunk,TG0
26404,2019-05-09,3:30:00,294,16,486,ringing,0.0,0.0,0.0,0.0,5418.0,9284.0,0.0,0.0,WaDC-Site,Lon-Site,TG1,es-trunk
26405,2019-05-09,3:30:00,431,0,487,ringing,0.0,0.0,2.0,0.0,5412.0,9284.0,0.0,0.0,Lon-Site,Fran-Site,TG0,TG8
26406,2019-05-09,3:30:00,373,16,0,answered,0.0,0.0,0.0,0.0,0.0,9284.0,267.0,439.0,Lon-Site,Lon-Site,eu-trunk,es-trunk
26407,2019-05-09,3:30:00,390,16,0,ringing,0.0,1.0,6.0,0.0,9281.0,9284.0,0.0,440.0,Lon-Site,Fran-Site,eu-trunk,es-trunk
26408,2019-05-09,3:30:00,74,0,0,ringing,0.0,0.0,4.0,0.0,5418.0,4650.0,440.0,440.0,Lon-Site,Fran-Site,NoTG,NoTG
26409,2019-05-09,3:30:00,327,19,0,answered,0.0,0.0,0.0,0.0,9288.0,9284.0,440.0,0.0,Lon-Site,Lon-Site,NoTG,es-trunk
26410,2019-05-09,,398,31,404,answered,0.0,0.0,0.0,0.0,5418.0,6252.0,277.0,440.0,Lon-Site,Lon-Site,NoTG,es-trunk
